"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3654","should cancel checkout from overview page","chromium","Mon Jul 07 15:31:47 SAST 2025","passed","Mon Jul 07 15:31:50 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3302","should validate missing postal code","chromium","Mon Jul 07 15:31:45 SAST 2025","passed","Mon Jul 07 15:31:49 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2260","should sort products by price low to high","firefox","Mon Jul 07 15:32:46 SAST 2025","passed","Mon Jul 07 15:32:49 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4301","should complete full checkout process with single item","firefox","Mon Jul 07 15:32:23 SAST 2025","passed","Mon Jul 07 15:32:27 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2677","should validate missing last name","webkit","Mon Jul 07 15:33:03 SAST 2025","passed","Mon Jul 07 15:33:06 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","5671","should verify app state reset functionality","firefox","Mon Jul 07 15:32:40 SAST 2025","passed","Mon Jul 07 15:32:45 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","2094","should show error message for locked out user","webkit","Mon Jul 07 15:33:23 SAST 2025","passed","Mon Jul 07 15:33:26 SAST 2025","Login Functionality","login.spec.ts","",""
"","3472","should validate missing last name","firefox","Mon Jul 07 15:32:25 SAST 2025","passed","Mon Jul 07 15:32:29 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2621","should add single item to cart","chromium","Mon Jul 07 15:32:01 SAST 2025","passed","Mon Jul 07 15:32:04 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3115","should cancel checkout from overview page","webkit","Mon Jul 07 15:33:05 SAST 2025","passed","Mon Jul 07 15:33:08 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2129","should show error message for empty username","chromium","Mon Jul 07 15:32:09 SAST 2025","passed","Mon Jul 07 15:32:11 SAST 2025","Login Functionality","login.spec.ts","",""
"","2483","should show error message for empty password","firefox","Mon Jul 07 15:32:51 SAST 2025","passed","Mon Jul 07 15:32:54 SAST 2025","Login Functionality","login.spec.ts","",""
"","2813","should remove item from cart","firefox","Mon Jul 07 15:32:45 SAST 2025","passed","Mon Jul 07 15:32:47 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4290","should verify checkout overview displays correct items","firefox","Mon Jul 07 15:32:29 SAST 2025","passed","Mon Jul 07 15:32:33 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","8181","should handle problem user shopping experience","firefox","Mon Jul 07 15:32:34 SAST 2025","passed","Mon Jul 07 15:32:42 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","6571","should add multiple items to cart and verify all items","firefox","Mon Jul 07 15:32:12 SAST 2025","passed","Mon Jul 07 15:32:19 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2156","should show error message for locked out user","chromium","Mon Jul 07 15:32:08 SAST 2025","passed","Mon Jul 07 15:32:10 SAST 2025","Login Functionality","login.spec.ts","",""
"","2049","should show error message for empty username","webkit","Mon Jul 07 15:33:24 SAST 2025","passed","Mon Jul 07 15:33:26 SAST 2025","Login Functionality","login.spec.ts","",""
"","5757","should complete full checkout process with multiple items","firefox","Mon Jul 07 15:32:24 SAST 2025","passed","Mon Jul 07 15:32:30 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2836","should validate checkout information form","webkit","Mon Jul 07 15:33:02 SAST 2025","passed","Mon Jul 07 15:33:05 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2046","should get product details","webkit","Mon Jul 07 15:33:22 SAST 2025","passed","Mon Jul 07 15:33:24 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3086","should handle multiple identical items","webkit","Mon Jul 07 15:33:00 SAST 2025","passed","Mon Jul 07 15:33:03 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","6143","should add all items to cart and verify count","firefox","Mon Jul 07 15:32:48 SAST 2025","passed","Mon Jul 07 15:32:54 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3598","should cancel checkout from overview page","firefox","Mon Jul 07 15:32:27 SAST 2025","passed","Mon Jul 07 15:32:31 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","4533","should handle multiple identical items","firefox","Mon Jul 07 15:32:21 SAST 2025","passed","Mon Jul 07 15:32:25 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","5928","should handle checkout with all available products","webkit","Mon Jul 07 15:33:07 SAST 2025","passed","Mon Jul 07 15:33:13 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","5768","should verify app state reset functionality","chromium","Mon Jul 07 15:31:59 SAST 2025","passed","Mon Jul 07 15:32:05 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","15546","should verify all valid usernames can login","chromium","Mon Jul 07 15:32:10 SAST 2025","passed","Mon Jul 07 15:32:25 SAST 2025","Login Functionality","login.spec.ts","",""
"","4385","should maintain cart contents through checkout process","firefox","Mon Jul 07 15:32:33 SAST 2025","passed","Mon Jul 07 15:32:37 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","4844","should maintain cart contents through checkout process","chromium","Mon Jul 07 15:31:50 SAST 2025","passed","Mon Jul 07 15:31:55 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3371","should complete checkout with custom user data","firefox","Mon Jul 07 15:32:31 SAST 2025","passed","Mon Jul 07 15:32:34 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3821","should add multiple items to cart","firefox","Mon Jul 07 15:32:45 SAST 2025","passed","Mon Jul 07 15:32:48 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4443","should verify checkout overview displays correct pricing","chromium","Mon Jul 07 15:31:49 SAST 2025","passed","Mon Jul 07 15:31:53 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2689","should navigate to cart from inventory","chromium","Mon Jul 07 15:32:06 SAST 2025","passed","Mon Jul 07 15:32:09 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4655","should add item to cart and verify in cart page","chromium","Mon Jul 07 15:31:36 SAST 2025","passed","Mon Jul 07 15:31:41 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","7116","should complete full shopping experience - login to purchase","chromium","Mon Jul 07 15:31:52 SAST 2025","passed","Mon Jul 07 15:31:59 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","3430","should verify checkout overview displays correct pricing","webkit","Mon Jul 07 15:33:06 SAST 2025","passed","Mon Jul 07 15:33:09 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","12106","should verify all valid usernames can login","webkit","Mon Jul 07 15:33:25 SAST 2025","passed","Mon Jul 07 15:33:37 SAST 2025","Login Functionality","login.spec.ts","",""
"","2488","should proceed to checkout from cart","webkit","Mon Jul 07 15:32:58 SAST 2025","passed","Mon Jul 07 15:33:01 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","4165","should verify cart items match added items","firefox","Mon Jul 07 15:32:22 SAST 2025","passed","Mon Jul 07 15:32:26 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","3065","should verify cart items match added items","webkit","Mon Jul 07 15:33:00 SAST 2025","passed","Mon Jul 07 15:33:03 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","3349","should continue shopping from cart","webkit","Mon Jul 07 15:32:57 SAST 2025","passed","Mon Jul 07 15:33:00 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","1741","should show error message for empty password","webkit","Mon Jul 07 15:33:24 SAST 2025","passed","Mon Jul 07 15:33:26 SAST 2025","Login Functionality","login.spec.ts","",""
"","3006","should cancel checkout from information page","webkit","Mon Jul 07 15:33:04 SAST 2025","passed","Mon Jul 07 15:33:07 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3463","should add multiple items to cart","webkit","Mon Jul 07 15:33:19 SAST 2025","passed","Mon Jul 07 15:33:22 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4271","should remove item from cart","chromium","Mon Jul 07 15:32:02 SAST 2025","passed","Mon Jul 07 15:32:07 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","2191","should sort products by price high to low","chromium","Mon Jul 07 15:32:06 SAST 2025","passed","Mon Jul 07 15:32:08 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4169","should add item to cart and verify in cart page","webkit","Mon Jul 07 15:32:54 SAST 2025","passed","Mon Jul 07 15:32:58 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2345","should sort products by price low to high","chromium","Mon Jul 07 15:32:05 SAST 2025","passed","Mon Jul 07 15:32:07 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","2196","should show error message for invalid credentials","firefox","Mon Jul 07 15:32:49 SAST 2025","passed","Mon Jul 07 15:32:52 SAST 2025","Login Functionality","login.spec.ts","",""
"","3704","should verify checkout overview displays correct items","webkit","Mon Jul 07 15:33:05 SAST 2025","passed","Mon Jul 07 15:33:09 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3553","should validate checkout information form","chromium","Mon Jul 07 15:31:44 SAST 2025","passed","Mon Jul 07 15:31:48 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","5945","should remove item from cart","firefox","Mon Jul 07 15:32:13 SAST 2025","passed","Mon Jul 07 15:32:19 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","9549","should handle complete workflow with all products","firefox","Mon Jul 07 15:32:42 SAST 2025","passed","Mon Jul 07 15:32:52 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","6455","should complete full shopping experience - login to purchase","webkit","Mon Jul 07 15:33:09 SAST 2025","passed","Mon Jul 07 15:33:15 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","2041","should show error message for invalid credentials","chromium","Mon Jul 07 15:32:08 SAST 2025","passed","Mon Jul 07 15:32:10 SAST 2025","Login Functionality","login.spec.ts","",""
"","2078","should sort products by price high to low","firefox","Mon Jul 07 15:32:47 SAST 2025","passed","Mon Jul 07 15:32:49 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","7825","should handle complete workflow with all products","webkit","Mon Jul 07 15:33:17 SAST 2025","passed","Mon Jul 07 15:33:25 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","2872","should complete full checkout process with single item","webkit","Mon Jul 07 15:33:01 SAST 2025","passed","Mon Jul 07 15:33:04 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","8421","should handle performance glitch user experience","chromium","Mon Jul 07 15:31:53 SAST 2025","passed","Mon Jul 07 15:32:01 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","3899","should verify cart items match added items","chromium","Mon Jul 07 15:31:42 SAST 2025","passed","Mon Jul 07 15:31:46 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2313","should show error message for locked out user","firefox","Mon Jul 07 15:32:49 SAST 2025","passed","Mon Jul 07 15:32:51 SAST 2025","Login Functionality","login.spec.ts","",""
"","3661","should display empty cart initially","webkit","Mon Jul 07 15:32:54 SAST 2025","passed","Mon Jul 07 15:32:58 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","1677","should sort products by name A-Z","webkit","Mon Jul 07 15:33:20 SAST 2025","passed","Mon Jul 07 15:33:22 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","8942","should handle complete workflow with all products","chromium","Mon Jul 07 15:31:59 SAST 2025","passed","Mon Jul 07 15:32:08 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","6500","should handle random product selection workflow","chromium","Mon Jul 07 15:31:56 SAST 2025","passed","Mon Jul 07 15:32:02 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","3140","should add single item to cart","firefox","Mon Jul 07 15:32:43 SAST 2025","passed","Mon Jul 07 15:32:46 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","5952","should add all items to cart and verify count","chromium","Mon Jul 07 15:32:07 SAST 2025","passed","Mon Jul 07 15:32:13 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","5210","should complete full checkout process with multiple items","chromium","Mon Jul 07 15:31:43 SAST 2025","passed","Mon Jul 07 15:31:48 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2997","should verify checkout overview displays payment and shipping info","webkit","Mon Jul 07 15:33:06 SAST 2025","passed","Mon Jul 07 15:33:09 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2613","should login successfully with valid credentials","firefox","Mon Jul 07 15:32:49 SAST 2025","passed","Mon Jul 07 15:32:51 SAST 2025","Login Functionality","login.spec.ts","",""
"","2864","should verify item details in cart","firefox","Mon Jul 07 15:32:20 SAST 2025","passed","Mon Jul 07 15:32:23 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","5517","should add multiple items to cart and verify all items","webkit","Mon Jul 07 15:32:54 SAST 2025","passed","Mon Jul 07 15:32:59 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2445","should display all inventory items","firefox","Mon Jul 07 15:32:42 SAST 2025","passed","Mon Jul 07 15:32:45 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","1795","should handle empty cart checkout attempt","webkit","Mon Jul 07 15:33:01 SAST 2025","passed","Mon Jul 07 15:33:02 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","5158","should verify app state reset functionality","webkit","Mon Jul 07 15:33:15 SAST 2025","passed","Mon Jul 07 15:33:20 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","8037","should handle performance glitch user experience","firefox","Mon Jul 07 15:32:34 SAST 2025","passed","Mon Jul 07 15:32:42 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","2545","should verify item details in cart","webkit","Mon Jul 07 15:32:59 SAST 2025","passed","Mon Jul 07 15:33:01 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","4725","should display empty cart initially","firefox","Mon Jul 07 15:32:12 SAST 2025","passed","Mon Jul 07 15:32:17 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","3218","should validate missing postal code","firefox","Mon Jul 07 15:32:26 SAST 2025","passed","Mon Jul 07 15:32:30 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3142","should proceed to checkout from cart","firefox","Mon Jul 07 15:32:19 SAST 2025","passed","Mon Jul 07 15:32:22 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","3969","should maintain cart contents through checkout process","webkit","Mon Jul 07 15:33:08 SAST 2025","passed","Mon Jul 07 15:33:12 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","5889","should add multiple items to cart and verify all items","chromium","Mon Jul 07 15:31:36 SAST 2025","passed","Mon Jul 07 15:31:42 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2814","should handle empty cart checkout attempt","chromium","Mon Jul 07 15:31:42 SAST 2025","passed","Mon Jul 07 15:31:45 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","4825","should remove item from cart","chromium","Mon Jul 07 15:31:36 SAST 2025","passed","Mon Jul 07 15:31:41 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","4281","should complete full checkout process with single item","chromium","Mon Jul 07 15:31:42 SAST 2025","passed","Mon Jul 07 15:31:47 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","1829","should navigate to cart from inventory","webkit","Mon Jul 07 15:33:22 SAST 2025","passed","Mon Jul 07 15:33:23 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","2006","should get product details","firefox","Mon Jul 07 15:32:47 SAST 2025","passed","Mon Jul 07 15:32:49 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","2689","should login successfully with valid credentials","chromium","Mon Jul 07 15:32:07 SAST 2025","passed","Mon Jul 07 15:32:10 SAST 2025","Login Functionality","login.spec.ts","",""
"","3326","should validate missing last name","chromium","Mon Jul 07 15:31:45 SAST 2025","passed","Mon Jul 07 15:31:48 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","4386","should proceed to checkout from cart","chromium","Mon Jul 07 15:31:36 SAST 2025","passed","Mon Jul 07 15:31:40 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2234","should add single item to cart","webkit","Mon Jul 07 15:33:18 SAST 2025","passed","Mon Jul 07 15:33:20 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3626","should handle multiple identical items","chromium","Mon Jul 07 15:31:42 SAST 2025","passed","Mon Jul 07 15:31:45 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2048","should sort products by price high to low","webkit","Mon Jul 07 15:33:22 SAST 2025","passed","Mon Jul 07 15:33:24 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","7444","should handle cart modifications during shopping","chromium","Mon Jul 07 15:31:55 SAST 2025","passed","Mon Jul 07 15:32:02 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","8155","should handle problem user shopping experience","chromium","Mon Jul 07 15:31:52 SAST 2025","passed","Mon Jul 07 15:32:00 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","2400","should sort products by name Z-A","chromium","Mon Jul 07 15:32:04 SAST 2025","passed","Mon Jul 07 15:32:06 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","5739","should add item to cart and verify in cart page","firefox","Mon Jul 07 15:32:12 SAST 2025","passed","Mon Jul 07 15:32:18 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","3626","should cancel checkout from information page","firefox","Mon Jul 07 15:32:27 SAST 2025","passed","Mon Jul 07 15:32:31 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3271","should remove item from cart","webkit","Mon Jul 07 15:32:56 SAST 2025","passed","Mon Jul 07 15:32:59 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","6958","should handle checkout with all available products","firefox","Mon Jul 07 15:32:31 SAST 2025","passed","Mon Jul 07 15:32:38 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3981","should verify checkout overview displays correct pricing","firefox","Mon Jul 07 15:32:30 SAST 2025","passed","Mon Jul 07 15:32:34 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","5292","should add all items to cart and verify count","webkit","Mon Jul 07 15:33:22 SAST 2025","passed","Mon Jul 07 15:33:27 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","4299","should handle empty cart checkout attempt","firefox","Mon Jul 07 15:32:23 SAST 2025","passed","Mon Jul 07 15:32:27 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","3092","should sort products by name A-Z","chromium","Mon Jul 07 15:32:03 SAST 2025","passed","Mon Jul 07 15:32:06 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3923","should complete checkout with custom user data","chromium","Mon Jul 07 15:31:49 SAST 2025","passed","Mon Jul 07 15:31:53 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2391","should get product details","chromium","Mon Jul 07 15:32:07 SAST 2025","passed","Mon Jul 07 15:32:09 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","5902","should continue shopping from cart","firefox","Mon Jul 07 15:32:14 SAST 2025","passed","Mon Jul 07 15:32:20 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","5853","should handle multiple product selection and sorting","chromium","Mon Jul 07 15:31:53 SAST 2025","passed","Mon Jul 07 15:31:59 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","4279","should complete full checkout process with multiple items","webkit","Mon Jul 07 15:33:01 SAST 2025","passed","Mon Jul 07 15:33:05 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","1965","should show error message for empty username","firefox","Mon Jul 07 15:32:50 SAST 2025","passed","Mon Jul 07 15:32:52 SAST 2025","Login Functionality","login.spec.ts","",""
"","2437","should display all inventory items","chromium","Mon Jul 07 15:32:00 SAST 2025","passed","Mon Jul 07 15:32:03 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","1645","should sort products by name Z-A","webkit","Mon Jul 07 15:33:20 SAST 2025","passed","Mon Jul 07 15:33:22 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","2997","should verify item details in cart","chromium","Mon Jul 07 15:31:41 SAST 2025","passed","Mon Jul 07 15:31:44 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","15282","should verify all valid usernames can login","firefox","Mon Jul 07 15:32:51 SAST 2025","passed","Mon Jul 07 15:33:07 SAST 2025","Login Functionality","login.spec.ts","",""
"","1991","should login successfully with valid credentials","webkit","Mon Jul 07 15:33:22 SAST 2025","passed","Mon Jul 07 15:33:24 SAST 2025","Login Functionality","login.spec.ts","",""
"","2304","should show error message for empty password","chromium","Mon Jul 07 15:32:09 SAST 2025","passed","Mon Jul 07 15:32:12 SAST 2025","Login Functionality","login.spec.ts","",""
"","4193","should verify checkout overview displays correct items","chromium","Mon Jul 07 15:31:48 SAST 2025","passed","Mon Jul 07 15:31:52 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","6429","should validate checkout information form","firefox","Mon Jul 07 15:32:28 SAST 2025","passed","Mon Jul 07 15:32:34 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","5933","should handle random product selection workflow","webkit","Mon Jul 07 15:33:14 SAST 2025","passed","Mon Jul 07 15:33:20 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","7218","should handle cart modifications during shopping","firefox","Mon Jul 07 15:32:37 SAST 2025","passed","Mon Jul 07 15:32:45 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","7740","should handle performance glitch user experience","webkit","Mon Jul 07 15:33:09 SAST 2025","passed","Mon Jul 07 15:33:17 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","6677","should handle random product selection workflow","firefox","Mon Jul 07 15:32:38 SAST 2025","passed","Mon Jul 07 15:32:45 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","5322","should handle multiple product selection and sorting","webkit","Mon Jul 07 15:33:12 SAST 2025","passed","Mon Jul 07 15:33:18 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","4027","should display empty cart initially","chromium","Mon Jul 07 15:31:36 SAST 2025","passed","Mon Jul 07 15:31:40 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2177","should sort products by name A-Z","firefox","Mon Jul 07 15:32:45 SAST 2025","passed","Mon Jul 07 15:32:47 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","6472","should handle checkout with all available products","chromium","Mon Jul 07 15:31:49 SAST 2025","passed","Mon Jul 07 15:31:56 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","4734","should add multiple items to cart","chromium","Mon Jul 07 15:32:02 SAST 2025","passed","Mon Jul 07 15:32:07 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","2260","should remove item from cart","webkit","Mon Jul 07 15:33:19 SAST 2025","passed","Mon Jul 07 15:33:22 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
